brand,tweet_count,support_replies,unique_customers,reply_rate
AmazonHelp,169840,169287,71048,0.9967439943476213
AppleSupport,106860,106719,76365,0.9986805165637282
Uber_Support,56270,56261,38299,0.999840056868669
SpotifyCares,43265,43243,27793,0.9994915058361262
Delta,42253,42197,22329,0.9986746503206873
Tesco,38573,38501,15593,0.9981334093796179
AmericanAir,36764,36598,21686,0.9954847133064955
TMobileHelp,34317,34287,19942,0.99912579770959
comcastcares,33031,33007,21823,0.9992734098271321
British_Airways,29361,29315,14212,0.9984332958686694
SouthwestAir,28977,28889,19712,0.9969631086723953
VirginTrains,27817,27522,12626,0.9893949742962936
Ask_Spectrum,25860,25807,17213,0.9979505027068832
XboxSupport,24557,24341,13149,0.9912041373131897
sprintcare,22381,22335,12895,0.997944685224074
hulu_support,21872,21783,13461,0.9959308705193856
sainsburys,19466,19417,10334,0.9974827905065242
GWRHelp,19364,19294,7602,0.9963850444123115
AskPlayStation,19098,18694,12214,0.9788459524557546
ChipotleTweets,18749,18612,14374,0.9926929436236599
VerizonSupport,17966,17851,7778,0.9935990203718135
UPSHelp,17817,17772,14614,0.9974743222764775
ATVIAssist,17650,17531,12422,0.993257790368272
O2,16212,16091,8814,0.9925363927954601
idea_cares,15724,15617,6021,0.9931951157466293
Safaricom_Care,16077,15471,7046,0.9623064004478448
AskTarget,13218,13218,10714,1.0
AirAsiaSupport,12829,12735,6355,0.9926728505729208
BofA_Help,12683,12654,6238,0.9977134747299535
ArgosHelpers,12174,12053,6795,0.9900607852801051
AskLyft,11809,11795,9407,0.998814463544754
SW_Help,12231,11792,4610,0.9641075954541738
marksandspencer,11504,11460,7599,0.9961752433936022
AskPayPal,11298,11270,9437,0.9975216852540273
MicrosoftHelps,11304,11223,4105,0.9928343949044586
AskAmex,11358,11111,3976,0.9782532135939426
Morrisons,10126,10028,5451,0.990321943511752
AdobeCare,9917,9888,4643,0.9970757285469396
airtel_care,9881,9869,2818,0.9987855480214554
AskeBay,9686,9624,4963,0.9935990088787942
AirbnbHelp,8875,8868,5361,0.9992112676056338
ChaseSupport,8811,8714,6677,0.9889910339348542
McDonalds,8478,8429,8199,0.9942203349846662
JetBlue,8020,7972,4628,0.9940149625935162
AldiUK,8114,7927,6327,0.9769534138526005
CoxHelp,7861,7836,4320,0.9968197430352372
Ask_WellsFargo,7578,7564,5585,0.9981525468461335
AzureSupport,7565,7484,2775,0.9892927957699934
AlaskaAir,7478,7428,4736,0.9933137202460551
HPSupport,7200,7181,3717,0.9973611111111111
