brand,tweet_count,support_replies,unique_customers,reply_rate,support_replies_norm,unique_customers_norm,tweet_count_norm,reply_rate_norm,candidate_score
AmazonHelp,169840,169287,71048,0.9967439943476213,1.0,0.9277483353716538,1.0,0.9136191371727845,0.9646609112774704
AppleSupport,106860,106719,76365,0.9986805165637282,0.6140303258361812,1.0,0.6127643876045253,0.9649944963614836,0.780525687747448
Uber_Support,56270,56261,38299,0.999840056868669,0.30276485756233573,0.48272863160755536,0.301709296606001,0.995756756233648,0.48619584666445287
SpotifyCares,43265,43243,27793,0.9994915058361262,0.22245937843139674,0.33996466911265116,0.22174741760944416,0.9865098008702993,0.404538991466198
Delta,42253,42197,22329,0.9986746503206873,0.2160068103586542,0.2657154504688137,0.2155250860796852,0.9648388666760543,0.3781281230078288
comcastcares,33031,33007,21823,0.9992734098271321,0.15931550960482646,0.2588395162386194,0.15882316773241514,0.9807237785326774,0.3484043137679832
TMobileHelp,34317,34287,19942,0.99912579770959,0.16721157760971217,0.23327897812202744,0.16673020167240532,0.9768076728994688,0.34557544040514626
AmericanAir,36764,36598,21686,0.9954847133064955,0.18146768164040813,0.25697785025139286,0.18177570093457943,0.8802107851955899,0.3401400473983164
Tesco,38573,38501,15593,0.9981334093796179,0.1932069139945468,0.17418127462970512,0.19289842597147072,0.950479905274121,0.3398588292057898
SouthwestAir,28977,28889,19712,0.9969631086723953,0.1339123783203583,0.2301535534719391,0.13389695031972454,0.9194321751255775,0.31507431726920226
British_Airways,29361,29315,14212,0.9984332958686694,0.1365402884532343,0.1554151379263487,0.1362579931136252,0.9584358047534608,0.3055957597806168
Ask_Spectrum,25860,25807,17213,0.9979505027068832,0.11490012707734445,0.1961951352085881,0.1147319232661092,0.9456274455751844,0.30134411223803814
sprintcare,22381,22335,12895,0.997944685224074,0.09348204261409201,0.1375186846038864,0.0933411214953271,0.94547310948422,0.2748682783177515
hulu_support,21872,21783,13461,0.9959308705193856,0.09007686328698505,0.145209947003669,0.09021151008362027,0.8920472035316198,0.26427439928457824
UPSHelp,17817,17772,14614,0.9974743222764775,0.06533379393730028,0.16087783666259003,0.06527914412198721,0.9329945201962514,0.262743752398116
sainsburys,19466,19417,10334,0.9974827905065242,0.07548147508420416,0.10271776056529419,0.07541810132808657,0.9332191798240757,0.25382858133903335
AskTarget,13218,13218,10714,1.0,0.03724106448866791,0.10788150563935317,0.03700196753566158,1.0,0.2474170973356547
XboxSupport,24557,24341,13149,0.9912041373131897,0.10585666169049882,0.14097024052181004,0.10672036399409739,0.7666483755514033,0.24692295451604732
VirginTrains,27817,27522,12626,0.9893949742962936,0.12547962444326552,0.1338632966435657,0.12676463354648304,0.7186518180883048,0.24640273258783107
ChipotleTweets,18749,18612,14374,0.9926929436236599,0.07051558856550652,0.15761652398423698,0.07100959173635023,0.806145964748482,0.23949099813241082
GWRHelp,19364,19294,7602,0.9963850444123115,0.07472271229935967,0.06559315124337546,0.07479094933595672,0.9040963020078074,0.23832527553254274
ATVIAssist,17650,17531,12422,0.993257790368272,0.0638471123832554,0.1310911808669656,0.06425233644859812,0.8211311811067803,0.23217572685868934
AskLyft,11809,11795,9407,0.998814463544754,0.028462857636361392,0.0901209403451556,0.028338662075750122,0.9685480699818649,0.23187579144856896
AskPayPal,11298,11270,9437,0.9975216852540273,0.025224235993732497,0.09052860442994973,0.025196753566158386,0.9342510459224368,0.22335156772439155
VerizonSupport,17966,17851,7778,0.9935990203718135,0.06582112938447682,0.06798478054083436,0.0661952779144122,0.8301839117452889,0.21929072092521895
BofA_Help,12683,12654,6238,0.9977134747299535,0.03376185952401515,0.04705802418806903,0.03371249385145106,0.939339163751589,0.2181939566846588
O2,16212,16091,8814,0.9925363927954601,0.054964035877759,0.08206278026905829,0.055410723069355634,0.8019927177765882,0.2112114614340892
marksandspencer,11504,11460,7599,0.9961752433936022,0.026396308588207715,0.06555238483489605,0.026463354648303,0.8985303432985849,0.21062219150096956
AirbnbHelp,8875,8868,5361,0.9992112676056338,0.01040677087831419,0.03514064410925397,0.01029881947860305,0.9790751638544144,0.2103077250713125
idea_cares,15724,15617,6021,0.9931951157466293,0.05204002319469976,0.04410925397472483,0.052410231185440234,0.8194684420108246,0.20359854585154208
airtel_care,9881,9869,2818,0.9987855480214554,0.016581742810259953,0.0005843185215382525,0.01648425971470733,0.9677809497375212,0.20280760565919886
Ask_WellsFargo,7578,7564,5585,0.9981525468461335,0.002362651598336891,0.038184535942383475,0.002324151500245942,0.950987616576384,0.2010373406652443
AdobeCare,9917,9888,4643,0.9970757285469396,0.016698950069707477,0.025383883679847806,0.016705607476635513,0.9224199469457887,0.200015381458498
AirAsiaSupport,12829,12735,6355,0.9926728505729208,0.03426153257744932,0.048647914118766136,0.0346101819970487,0.8056129020806057,0.1921806992763497
McDonalds,8478,8429,8199,0.9942203349846662,0.00769866630476355,0.07370566653077863,0.007857845548450565,0.8466672038753775,0.19201800076194317
CoxHelp,7861,7836,4320,0.9968197430352372,0.0040405660493751,0.020994700366897677,0.004064190850959173,0.9156287273556255,0.19060027561024345
HPSupport,7200,7181,3717,0.9973611111111111,0.0,0.012800652262535671,0.0,0.9299910616061614,0.1891983753868662
AskeBay,9686,9624,4963,0.9935990088787942,0.0150703860436998,0.02973230058431852,0.015285292670929661,0.8301836068389002,0.18179074483197905
MicrosoftHelps,11304,11223,4105,0.9928343949044586,0.0249343022466781,0.018073107759206414,0.025233644859813085,0.809898625212839,0.1802567696100126
ArgosHelpers,12174,12053,6795,0.9900607852801051,0.030054408843596166,0.05462698736241337,0.03058288243974422,0.7363155857231843,0.17752905988864032
JetBlue,8020,7972,4628,0.9940149625935162,0.004879523274894205,0.02518005163745074,0.005041810132808657,0.8412187353398674,0.17724684080721514
AlaskaAir,7478,7428,4736,0.9933137202460551,0.0015236943728177859,0.026647642342709606,0.0017092966060009837,0.8226149841515319,0.17205077965601104
Morrisons,10126,10028,5451,0.990321943511752,0.01756258250774185,0.03636363636363636,0.017990654205607477,0.7432440360370233,0.1674633474322516
ChaseSupport,8811,8714,6677,0.9889910339348542,0.00945677519647638,0.05302350862888979,0.009905312346286277,0.7079354002816025,0.16011146414407645
AskPlayStation,19098,18694,12214,0.9788459524557546,0.07102143042206951,0.12826470987905966,0.07315543531726512,0.438789402031627,0.1592059453425079
AzureSupport,7565,7484,2775,0.9892927957699934,0.0018691473480315348,0.0,0.0022442203639940973,0.715941052135617,0.14427250242093512
AskAmex,11358,11111,3976,0.9782532135939426,0.0242433962962506,0.016320152194591656,0.02556566650270536,0.4230642160888029,0.10222508976031454
AldiUK,8114,7927,6327,0.9769534138526005,0.004601927134097443,0.04826742763962495,0.005619773733398918,0.3885809150301283,0.09246677682958072
Safaricom_Care,16077,15471,7046,0.9623064004478448,0.05113937793789249,0.05803777687185759,0.05458066896212494,0.0,0.04315229573744014
SW_Help,12231,11792,4610,0.9641075954541738,0.028444351226974942,0.024935453186574263,0.030933349729463846,0.04778516850949137,0.0318086399487514
