brand,tweet_count,replies_to_customers,unique_customers
AmazonHelp,169840,169287,40673
AppleSupport,106860,106719,23669
Uber_Support,56270,56261,12781
SpotifyCares,43265,43243,8724
Delta,42253,42197,8036
Tesco,38573,38501,7398
AmericanAir,36764,36598,9699
TMobileHelp,34317,34287,6286
comcastcares,33031,33007,5594
British_Airways,29361,29315,6524
SouthwestAir,28977,28889,7525
VirginTrains,27817,27522,8065
Ask_Spectrum,25860,25807,5549
XboxSupport,24557,24341,6449
sprintcare,22381,22335,4697
hulu_support,21872,21783,5230
sainsburys,19466,19417,5483
GWRHelp,19364,19294,5271
AskPlayStation,19098,18694,5693
ChipotleTweets,18749,18612,5364
VerizonSupport,17966,17851,4688
UPSHelp,17817,17772,3933
ATVIAssist,17650,17531,7703
O2,16212,16091,4294
Safaricom_Care,16077,15471,3750
idea_cares,15724,15617,3230
AskTarget,13218,13218,3461
AirAsiaSupport,12829,12735,2596
BofA_Help,12683,12654,2245
SW_Help,12231,11792,3237
ArgosHelpers,12174,12053,3470
AskLyft,11809,11795,2096
marksandspencer,11504,11460,2929
AskAmex,11358,11111,2201
MicrosoftHelps,11304,11223,2609
AskPayPal,11298,11270,2086
Morrisons,10126,10028,2441
AdobeCare,9917,9888,2082
airtel_care,9881,9869,1188
AskeBay,9686,9624,2053
AirbnbHelp,8875,8868,1928
ChaseSupport,8811,8714,1383
McDonalds,8478,8429,2034
AldiUK,8114,7927,2192
JetBlue,8020,7972,2240
CoxHelp,7861,7836,1797
Ask_WellsFargo,7578,7564,1359
AzureSupport,7565,7484,1374
AlaskaAir,7478,7428,1788
HPSupport,7200,7181,597
